title,release_date,release_year,revenue,budget,return,belongs_to_collection,production_companies,production_countries,spoken_languages,id,vote_average,vote_count,popularity,genero
The Juror,1996-02-02,1996.0,0.0,44000000.0,0.0,,,,,9623,5.5,91.0,6.010579,Drama
The White Balloon,1995-01-01,1995.0,0.0,0.0,0.0,,,,,46785,7.5,20.0,1.196256,Family
Things to Do in Denver When You're Dead,1995-12-01,1995.0,529766.0,8000000.0,0.06622075,,,,,400,6.7,87.0,4.486179,Drama
Antonia's Line,1995-09-12,1995.0,0.0,900000.0,0.0,,,,,880,7.2,26.0,2.030174,Drama
Once Upon a Time... When We Were Colored,1996-01-26,1996.0,0.0,0.0,0.0,,,,,146599,4.5,2.0,0.252287,Romance
Last Summer in the Hamptons,1995-11-22,1995.0,0.0,0.0,0.0,,,,,188588,0.0,0.0,0.531159,
Angels and Insects,1995-09-10,1995.0,0.0,0.0,0.0,,,,,8447,6.3,17.0,2.15166,Drama
White Squall,1996-02-02,1996.0,10300000.0,38000000.0,0.2710526315789474,,,,,10534,6.3,86.0,9.568604,Action
Dunston Checks In,1996-01-12,1996.0,0.0,16000000.0,0.0,,,,,17414,5.1,59.0,4.814825,Adventure
Black Sheep,1996-02-01,1996.0,32.0,0.0,0.0,,,,,13997,6.0,124.0,8.963037,Comedy
Nick of Time,1995-11-22,1995.0,8175346.0,8169363.0,1.000732370443081,,,,,2086,6.1,190.0,6.848591,Crime
The Journey of August King,1995-09-14,1995.0,0.0,0.0,0.0,,,,,61548,6.7,3.0,0.411424,Drama
Mary Reilly,1996-02-23,1996.0,12379402.0,47000000.0,0.2633915319148936,,,,,9095,5.7,77.0,12.866139,Drama
Vampire in Brooklyn,1995-10-26,1995.0,19800000.0,14000000.0,1.4142857142857144,,,,,12158,4.5,113.0,9.071127,Comedy
Beautiful Girls,1996-02-09,1996.0,0.0,0.0,0.0,,,,,9283,6.6,103.0,4.670562,Comedy
Broken Arrow,1996-02-09,1996.0,150270147.0,50000000.0,3.00540294,,,,,9208,5.7,459.0,14.957626,Action
A Midwinter's Tale,1995-12-01,1995.0,0.0,0.0,0.0,,,,,40154,7.5,6.0,0.513391,Comedy
La Haine,1995-05-31,1995.0,0.0,3000000.0,0.0,,,,,406,7.9,695.0,12.108196,Drama
Shopping,1994-12-06,1994.0,0.0,0.0,0.0,,,,,45549,5.6,13.0,2.657647,Action
Heidi Fleiss: Hollywood Madam,1995-12-27,1995.0,0.0,0.0,0.0,,,,,63076,6.8,4.0,0.638211,Documentary
City Hall,1996-02-16,1996.0,0.0,0.0,0.0,,,,,11062,6.0,67.0,4.807223,Drama
Bottle Rocket,1996-02-21,1996.0,560069.0,7000000.0,0.08000985714285715,,,,,13685,6.8,285.0,6.904831,Comedy
Mr. Wrong,1996-02-16,1996.0,0.0,0.0,0.0,,,,,47475,3.3,16.0,3.329264,Comedy
Unforgettable,1996-02-23,1996.0,0.0,18000000.0,0.0,,,,,2045,5.3,22.0,2.464425,Drama
Happy Gilmore,1996-02-16,1996.0,41205099.0,12000000.0,3.43375825,,,,,9614,6.5,767.0,9.592265,Comedy
The Bridges of Madison County,1995-05-28,1995.0,182016617.0,24000000.0,7.584025708333333,,,,,688,7.3,397.0,5.951077,Drama
Nobody Loves Me,1994-11-07,1994.0,0.0,0.0,0.0,,,,,11907,5.1,5.0,1.015068,Drama
Muppet Treasure Island,1996-02-16,1996.0,34327391.0,0.0,0.0,The Muppet Collection,,,,10874,6.5,93.0,6.902423,Action
Catwalk,1995-12-08,1995.0,0.0,0.0,0.0,,,,,89333,7.0,2.0,0.976707,Documentary
Headless Body in Topless Bar,1995-05-20,1995.0,0.0,0.0,0.0,,,,,96357,0.0,0.0,0.001346,Crime
Braveheart,1995-05-24,1995.0,210000000.0,72000000.0,2.9166666666666665,,,,,197,7.7,3404.0,20.755149,Action
Taxi Driver,1976-02-07,1976.0,28262574.0,1300000.0,21.74044153846154,,,,,103,8.1,2632.0,14.092713,Crime
Rumble in the Bronx,1995-01-30,1995.0,32392047.0,7500000.0,4.3189396,,,,,33542,6.5,245.0,12.314278,Crime
Before and After,1996-02-23,1996.0,0.0,35000000.0,0.0,,,,,43566,5.8,37.0,2.938293,Drama
Margaret's Museum,1995-09-13,1995.0,0.0,0.0,0.0,,,,,71754,7.5,2.0,0.372697,Drama
Happiness Is in the Field,1995-01-31,1995.0,0.0,13365000.0,0.0,,,,,43612,7.0,23.0,1.254885,Comedy
Anne Frank Remembered,1995-06-08,1995.0,1.0,0.0,0.0,,,,,51352,7.3,4.0,0.243986,Documentary
The Young Poisoner's Handbook,1995-01-20,1995.0,0.0,0.0,0.0,,,,,16934,6.9,19.0,6.178497,Comedy
If Lucy Fell,1996-03-08,1996.0,0.0,0.0,0.0,,,,,10324,5.4,11.0,2.891918,Comedy
Steal Big Steal Little,1995-09-29,1995.0,6278139.0,25000000.0,0.25112556,,,,,78406,5.1,7.0,1.522412,Comedy
Race the Sun,1996-03-22,1996.0,0.0,0.0,0.0,,,,,55731,5.2,21.0,1.317878,Action
The Boys of St. Vincent,1992-12-06,1992.0,0.0,0.0,0.0,,,,,32119,7.0,7.0,0.86539,Drama
Boomerang,1992-06-30,1992.0,70100000.0,40000000.0,1.7525,,,,,11066,5.4,139.0,6.506983,Comedy
Chungking Express,1994-07-14,1994.0,0.0,0.0,0.0,,,,,11104,7.9,249.0,6.778979,Drama
The Star Maker,1995-09-21,1995.0,0.0,0.0,0.0,,,,,37975,6.8,29.0,1.702639,Drama
Flirting with Disaster,1996-03-22,1996.0,14702438.0,7000000.0,2.100348285714286,,,,,2074,6.3,66.0,5.579088,Comedy
The Neverending Story III: Escape from Fantasia,1994-10-26,1994.0,0.0,17000000.0,0.0,The Neverending Story Collection,,,,27793,4.4,105.0,6.252377,Fantasy
The Silences of the Palace,1994-09-30,1994.0,0.0,0.0,0.0,,,,,44284,4.3,3.0,0.406754,Drama
Jupiter's Wife,1995-01-01,1995.0,0.0,0.0,0.0,,,,,290157,0.0,0.0,0.001178,
Pie in the Sky,1996-02-09,1996.0,0.0,0.0,0.0,,,,,110972,7.0,2.0,0.699066,Comedy
Angela,1995-01-01,1995.0,0.0,0.0,0.0,,,,,32622,5.6,9.0,2.197439,Comedy
Frankie Starlight,1995-11-22,1995.0,0.0,0.0,0.0,,,,,73067,5.4,4.0,0.637554,Drama
Jade,1995-10-13,1995.0,9851610.0,50000000.0,0.1970322,,,,,11863,5.1,45.0,11.418917,Action
Nueba Yol,1995-08-16,1995.0,0.0,0.0,0.0,,,,,55475,5.5,1.0,0.291021,Comedy
Sonic Outlaws,1995-08-01,1995.0,0.0,0.0,0.0,,,,,124636,0.0,0.0,0.001838,Music
Down Periscope,1996-03-01,1996.0,0.0,0.0,0.0,,,,,9101,5.6,110.0,5.184977,Comedy
From the Journals of Jean Seberg,1995-09-08,1995.0,0.0,0.0,0.0,,,,,123360,6.5,2.0,0.276401,Documentary
Man of the Year,1995-09-15,1995.0,209935.0,0.0,0.0,,,,,5757,3.8,2.0,0.540436,Comedy
The Neon Bible,1995-08-23,1995.0,0.0,0.0,0.0,,,,,39428,7.2,5.0,0.370342,Drama
Target,1995-08-01,1995.0,0.0,0.0,0.0,,,,,124639,0.0,0.0,0.001205,
Up Close & Personal,1996-03-01,1996.0,0.0,60000000.0,0.0,,,,,9302,5.9,51.0,3.402749,Drama
The Birdcage,1996-03-08,1996.0,185260553.0,31000000.0,5.976146870967742,,,,,11000,6.7,303.0,6.49968,Comedy
Virgin Mary,1995-10-12,1995.0,0.0,0.0,0.0,,,,,249882,7.0,2.0,0.918504,Drama
The Brothers McMullen,1995-08-09,1995.0,0.0,0.0,0.0,,,,,16388,6.3,23.0,2.039196,Comedy
Bad Boys,1995-04-07,1995.0,141407024.0,19000000.0,7.442474947368421,Bad Boys Collection,,,,9737,6.5,1729.0,9.262184,Action
The Amazing Panda Adventure,1995-08-25,1995.0,0.0,0.0,0.0,,,,,30765,5.0,31.0,2.375865,Action
The Basketball Diaries,1995-04-21,1995.0,0.0,0.0,0.0,,,,,10474,7.2,472.0,7.415144,Drama
An Awfully Big Adventure,1995-07-21,1995.0,851545.0,4000000.0,0.21288625,,,,,22279,6.0,11.0,0.922958,Romance
Amateur,1994-08-05,1994.0,0.0,0.0,0.0,,,,,30157,6.5,21.0,1.759012,Crime
Apollo 13,1995-06-30,1995.0,355237933.0,52000000.0,6.831498711538462,,,,,568,7.3,1637.0,18.761467,Drama
Rob Roy,1995-04-13,1995.0,31596911.0,28000000.0,1.1284611071428572,,,,,11780,6.5,151.0,10.193549,Adventure
The Addiction,1995-01-10,1995.0,0.0,0.0,0.0,,,,,34996,6.4,46.0,3.137285,Drama
Batman Forever,1995-06-16,1995.0,336529144.0,100000000.0,3.36529144,Batman Collection,,,,414,5.2,1529.0,13.321354,Action
Belle de Jour,1967-05-24,1967.0,0.0,0.0,0.0,,,,,649,7.3,163.0,10.142662,Drama
Beyond Rangoon,1995-05-24,1995.0,0.0,0.0,0.0,,,,,1873,6.4,21.0,2.04189,Drama
Blue in the Face,1995-09-15,1995.0,1275000.0,2000000.0,0.6375,Brooklyn Cigar Store Collection,,,,5894,6.8,28.0,11.528147,Comedy
Canadian Bacon,1995-06-08,1995.0,178104.0,11000000.0,0.016191272727272728,,,,,1775,5.9,57.0,5.391556,Action
Casper,1995-05-26,1995.0,287928194.0,50000000.0,5.75856388,Casper Collection,,,,8839,6.0,1045.0,12.812539,Fantasy
Clockers,1995-09-15,1995.0,13071518.0,25000000.0,0.52286072,,,,,20649,6.8,69.0,4.558992,Mystery
Congo,1995-06-09,1995.0,152022101.0,50000000.0,3.04044202,,,,,10329,5.0,214.0,7.260574,Action
Crimson Tide,1995-05-12,1995.0,157387195.0,53000000.0,2.969569716981132,,,,,8963,7.0,508.0,8.657365,Action
Crumb,1994-09-10,1994.0,3174695.0,0.0,0.0,,,,,26564,7.6,71.0,3.620388,Documentary
Desperado,1995-08-25,1995.0,25405445.0,7000000.0,3.6293492857142855,Mexico Trilogy,,,,8068,6.8,898.0,6.950458,Thriller
Devil in a Blue Dress,1995-09-15,1995.0,16140822.0,27000000.0,0.5978082222222222,,,,,8512,6.3,88.0,4.646132,Drama
Die Hard: With a Vengeance,1995-05-19,1995.0,366101666.0,90000000.0,4.067796288888889,Die Hard Collection,,,,1572,6.9,2094.0,15.138855,Action
The Doom Generation,1995-10-27,1995.0,0.0,0.0,0.0,Teenage Apocalypse Trilogy,,,,13552,5.6,57.0,7.120806,Action
Feast of July,1995-10-12,1995.0,0.0,0.0,0.0,,,,,259209,0.0,0.0,0.523575,Drama
First Knight,1995-07-07,1995.0,127600435.0,55000000.0,2.320007909090909,,,,,6520,5.9,319.0,15.178338,Action
Free Willy 2 - The Adventure Home,1995-07-19,1995.0,0.0,0.0,0.0,Free Willy Collection,,,,9073,5.5,130.0,7.575098,Adventure
Hackers,1995-09-14,1995.0,7563728.0,20000000.0,0.3781864,,,,,10428,6.2,406.0,14.810519,Action
Jeffrey,1995-08-18,1995.0,0.0,0.0,0.0,,,,,17447,6.5,19.0,3.196456,Comedy
Johnny Mnemonic,1995-05-26,1995.0,19075720.0,25000000.0,0.7630288,,,,,9886,5.5,380.0,11.715868,Adventure
Judge Dredd,1995-06-30,1995.0,113493481.0,90000000.0,1.2610386777777778,,,,,9482,5.4,643.0,8.184815,Science Fiction
Jury Duty,1995-04-12,1995.0,17014653.0,0.0,0.0,,,,,19326,4.0,34.0,3.676921,Comedy
Kids,1995-07-28,1995.0,7412216.0,1500000.0,4.941477333333333,,,,,9344,6.8,280.0,4.877872,Drama
Living in Oblivion,1995-01-20,1995.0,1148752.0,500000.0,2.297504,,,,,9071,7.2,64.0,10.058329,Drama
Lord of Illusions,1995-08-25,1995.0,0.0,0.0,0.0,,,,,8973,5.9,87.0,4.102409,Mystery
Love & Human Remains,1993-05-20,1993.0,0.0,0.0,0.0,,,,,15730,7.0,7.0,0.354014,Comedy
Mad Love,1995-05-26,1995.0,15453274.0,0.0,0.0,,,,,47608,5.5,27.0,2.624771,Drama
Mallrats,1995-10-20,1995.0,2122561.0,6000000.0,0.35376016666666665,,,,,2293,6.8,400.0,8.25547,Romance
Mighty Morphin Power Rangers: The Movie,1995-06-30,1995.0,66000000.0,15000000.0,4.4,Power Rangers Collection,,,,9070,5.2,153.0,7.024227,Action
Moonlight and Valentino,1995-09-29,1995.0,0.0,0.0,0.0,,,,,68274,5.6,10.0,1.01115,Comedy
Mute Witness,1995-09-28,1995.0,1.0,2.0,0.5,,,,,48787,6.4,36.0,2.466066,Thriller
Nadja,1994-09-13,1994.0,0.0,0.0,0.0,,,,,34574,5.9,12.0,7.720056,Horror
The Net,1995-07-28,1995.0,110627965.0,22000000.0,5.028543863636363,Síť (kolekce),,,,1642,5.6,359.0,13.304342,Crime
Nine Months,1995-07-12,1995.0,69660733.0,0.0,0.0,,,,,11472,5.5,171.0,8.482834,Comedy
Party Girl,1995-06-09,1995.0,472370.0,150000.0,3.1491333333333333,,,,,36196,5.8,14.0,1.165039,Comedy
The Prophecy,1995-09-01,1995.0,16.0,8.0,2.0,The Prophecy Collection,,,,11980,6.4,139.0,10.187623,Fantasy
Reckless,1995-11-17,1995.0,0.0,0.0,0.0,,,,,58372,10.0,1.0,0.119713,Fantasy
Safe,1995-06-23,1995.0,0.0,0.0,0.0,,,,,32646,7.2,62.0,8.180047,Drama
The Scarlet Letter,1995-10-13,1995.0,10382407.0,50000000.0,0.20764814,,,,,10533,5.5,111.0,6.752119,Drama
The Show,1995-08-25,1995.0,0.0,0.0,0.0,,,,,56088,5.3,2.0,0.159596,Documentary
Showgirls,1995-09-22,1995.0,20350754.0,45000000.0,0.4522389777777778,Showgirls Collection,,,,10802,4.9,261.0,17.502375,Drama
Smoke,1995-06-09,1995.0,8349430.0,7000000.0,1.1927757142857143,Brooklyn Cigar Store Collection,,,,10149,7.2,115.0,5.552946,Comedy
Something to Talk About,1995-08-04,1995.0,50892160.0,0.0,0.0,,,,,18402,5.7,60.0,3.743212,Comedy
Species,1995-07-07,1995.0,113374103.0,35000000.0,3.2392600857142857,Species Collection,,,,9348,5.5,457.0,13.492845,Science Fiction
The Stars Fell on Henrietta,1995-09-15,1995.0,0.0,0.0,0.0,,,,,139408,6.6,6.0,0.913522,Drama
Strange Days,1995-10-13,1995.0,7959291.0,42000000.0,0.18950692857142856,,,,,281,6.8,334.0,11.223055,Crime
The Umbrellas of Cherbourg,1964-02-19,1964.0,0.0,0.0,0.0,,,,,5967,7.6,119.0,8.133881,Drama
The Tie That Binds,1995-09-08,1995.0,5780000.0,14000000.0,0.41285714285714287,,,,,79593,4.6,9.0,1.820419,Thriller
Three Wishes,1995-10-27,1995.0,7025496.0,0.0,0.0,,,,,47939,6.1,18.0,11.002046,Drama
Total Eclipse,1995-11-02,1995.0,339889.0,0.0,0.0,,,,,36834,6.5,112.0,4.546552,Drama
"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,1995.0,47774193.0,0.0,0.0,,,,,9090,6.3,117.0,7.653446,Comedy
Under Siege 2: Dark Territory,1995-07-13,1995.0,104324083.0,60000000.0,1.7387347166666667,Under Siege Collection,,,,3512,5.6,217.0,7.490247,Action
Unstrung Heroes,1995-09-15,1995.0,0.0,0.0,0.0,,,,,52856,6.4,9.0,2.881689,Comedy
Unzipped,1995-08-11,1995.0,0.0,0.0,0.0,,,,,77350,6.0,6.0,0.786023,Documentary
A Walk in the Clouds,1995-08-11,1995.0,50012507.0,20000000.0,2.50062535,,,,,9560,6.5,168.0,9.715639,Drama
Waterworld,1995-07-28,1995.0,264218220.0,175000000.0,1.5098184,,,,,9804,5.9,1017.0,16.885184,Adventure
White Man's Burden,1995-12-01,1995.0,0.0,8000000.0,0.0,,,,,31611,5.1,25.0,1.834099,Drama
Wild Bill,1995-12-01,1995.0,0.0,30000000.0,0.0,,,,,65796,5.9,27.0,8.922139,Action
The Browning Version,1994-10-12,1994.0,0.0,0.0,0.0,,,,,49805,6.0,11.0,3.727644,Drama
Bushwhacked,1995-08-04,1995.0,0.0,0.0,0.0,,,,,26258,4.9,29.0,3.287036,Adventure
Burnt by the Sun,1994-05-01,1994.0,2616503.0,2800000.0,0.9344653571428572,Burnt by the Sun Trilogy,,,,50797,6.7,35.0,2.486073,Drama
Before the Rain,1994-06-09,1994.0,763847.0,0.0,0.0,,,,,19155,7.7,45.0,3.525649,Drama
Before Sunrise,1995-01-27,1995.0,5535405.0,2500000.0,2.214162,Before... Collection,,,,76,7.7,984.0,11.304979,Drama
Billy Madison,1995-02-10,1995.0,26488734.0,10000000.0,2.6488734,,,,,11017,6.2,464.0,6.638116,Comedy
The Babysitter,1995-10-17,1995.0,0.0,0.0,0.0,,,,,37141,4.7,27.0,2.761837,Drama
Boys on the Side,1995-02-03,1995.0,23450000.0,21000000.0,1.1166666666666667,,,,,9382,6.3,48.0,3.030309,Comedy
The Cure,1995-04-21,1995.0,0.0,0.0,0.0,,,,,6715,7.2,58.0,2.686342,Drama
Castle Freak,1995-08-04,1995.0,0.0,0.0,0.0,,,,,18256,5.8,40.0,2.26977,Thriller
Circle of Friends,1995-03-16,1995.0,0.0,0.0,0.0,,,,,22625,6.5,30.0,2.605521,Drama
Clerks,1994-09-13,1994.0,3151130.0,27000.0,116.70851851851852,Clerks Collection,,,,2292,7.4,769.0,10.513367,Comedy
Don Juan DeMarco,1994-10-01,1994.0,22200000.0,25000000.0,0.888,,,,,1909,6.3,184.0,7.438934,Romance
Disclosure,1994-12-09,1994.0,214015089.0,55000000.0,3.891183436363636,,,,,8984,5.9,217.0,11.812244,Drama
Dream Man,1995-01-01,1995.0,0.0,0.0,0.0,,,,,61813,2.5,1.0,0.155859,Thriller
Drop Zone,1994-12-08,1994.0,0.0,45000000.0,0.0,,,,,4954,5.1,91.0,9.579155,Action
Destiny Turns on the Radio,1995-04-28,1995.0,0.0,0.0,0.0,,,,,62488,5.3,9.0,0.710671,Crime
Death and the Maiden,1994-05-04,1994.0,0.0,0.0,0.0,,,,,10531,7.1,92.0,5.484156,Drama
